index,nome_feature,coeficiente,p_valor,nome_original_feature,calculo_score,score_preliminar,diferenca,score_final
42,int_rate:<9.548,0.9095009886659936,1.8625973204536556e-28,int_rate,85.78091928710748,86.0,0.21908071289252007,86.0
43,int_rate:9.548-12.025,0.5774365702605886,2.684331412169082e-33,int_rate,54.46177678113366,54.0,-0.4617767811336577,54.0
44,int_rate:12.025-15.74,0.3052702059573646,1.0041826489659701e-14,int_rate,28.79200707235744,29.0,0.20799292764256094,29.0
45,int_rate:15.74-20.281,0.09645338240160996,0.0018945289368182316,int_rate,9.097142184415503,9.0,-0.09714218441550315,9.0
46,mths_since_earliest_cr_line:141-164,0.0765051733468457,0.0042899031808811,mths_since_earliest_cr_line,7.215697598677408,7.0,-0.21569759867740768,7.0
47,mths_since_earliest_cr_line:165-247,0.04731731574259283,0.029456450194105015,mths_since_earliest_cr_line,4.462802012509456,4.0,-0.46280201250945563,4.0
48,mths_since_earliest_cr_line:248-270,0.07440274187706669,0.008673980884928253,mths_since_earliest_cr_line,7.017403691949155,7.0,-0.017403691949154698,7.0
49,mths_since_earliest_cr_line:271-352,0.13622120226145,9.650867680444558e-08,mths_since_earliest_cr_line,12.847902423417228,13.0,0.15209757658277212,13.0
50,mths_since_earliest_cr_line:>352,0.13343447475194053,3.864068313230093e-06,mths_since_earliest_cr_line,12.585068132363828,13.0,0.41493186763617196,13.0
51,delinq_2yrs:0,0.06417072489343299,0.2913998659508463,delinq_2yrs,6.0523560076087835,6.0,-0.05235600760878345,6.0
52,delinq_2yrs:1-3,0.008231239741196772,0.8854480668807262,delinq_2yrs,0.7763414451127493,1.0,0.22365855488725073,1.0
53,inq_last_6mths:0,0.7299599395382127,3.825313347497312e-09,inq_last_6mths,68.84724198946935,69.0,0.15275801053064697,69.0
54,inq_last_6mths:1-2,0.5871465229479771,2.0770734192121028e-06,inq_last_6mths,55.37758520590536,55.0,-0.37758520590536193,55.0
55,inq_last_6mths:3-6,0.3863988144657054,0.0018723946257781475,inq_last_6mths,36.44377073732808,36.0,-0.44377073732808014,36.0
56,open_acc:1-3,-0.0645815454946678,0.7185560734369447,open_acc,-6.091103154973288,-6.0,0.09110315497328791,-6.0
57,open_acc:4-12,-0.1265311240380224,0.4704781016412034,open_acc,-11.933968487854616,-12.0,-0.0660315121453845,-12.0
58,open_acc:13-17,-0.13736608329304806,0.4342373189539118,open_acc,-12.955883556575646,-13.0,-0.044116443424353946,-13.0
59,open_acc:18-22,-0.1592588323691649,0.36730230628769045,open_acc,-15.020730285577882,-15.0,0.020730285577881702,-15.0
60,open_acc:23-25,-0.13656947055957544,0.45271262609640206,open_acc,-12.880749858597676,-13.0,-0.1192501414023237,-13.0
61,open_acc:26-30,-0.1502955294804516,0.4212803940705051,open_acc,-14.175343231331393,-14.0,0.17534323133139296,-14.0
62,open_acc:>=31,-0.18601732570671947,0.35646425205037036,open_acc,-17.544496818916226,-18.0,-0.45550318108377397,-18.0
63,pub_rec:3-4,0.033668159850958654,0.7305198587452202,pub_rec,3.175461861736515,3.0,-0.1754618617365149,3.0
64,pub_rec:>=5,0.040163649415380184,0.8330899537150374,pub_rec,3.788093483911161,4.0,0.21190651608883915,4.0
65,total_acc:28-51,-0.0186716908121775,0.21911391175468697,total_acc,-1.7610478960143559,-2.0,-0.23895210398564415,-2.0
66,total_acc:>=52,-0.034812709616486075,0.40485699300513567,total_acc,-3.2834117510497647,-3.0,0.2834117510497647,-3.0
67,acc_now_delinq:>=1,0.16873037260840135,0.13276201938163343,acc_now_delinq,15.914052490733733,16.0,0.08594750926626737,16.0
68,total_rev_hi_lim:5K-10K,0.013171521031321323,0.6176984842546983,total_rev_hi_lim,1.2422913185981663,1.0,-0.24229131859816633,1.0
69,total_rev_hi_lim:10K-20K,-0.0006524879648555071,0.9796861788056995,total_rev_hi_lim,-0.06154035910524354,-0.0,0.06154035910524354,-0.0
70,total_rev_hi_lim:20K-30K,0.00540837247041952,0.8477254905603526,total_rev_hi_lim,0.5100985794860385,1.0,0.48990142051396146,1.0
